year,subject,medal,paper_title,pdf_url,local_file
,生物奖,优胜奖,Effect and mechanism of Ginsenoside Rg1 on inhibition of microglia activation in the treatment of ketamine abuse induced mental disorders,,
,生物奖,优胜奖,HCR Utilization in Triggered Assembly of DNA Nanotube Structure,,
,生物奖,优胜奖,A Fusion of Artificial Spidroin and Mussel Foot Protein That Retains High Adhesion and Natural Glue Formation Ability,,
,生物奖,优胜奖,Identification and Genetic Signature Analysis of Exonic SNVs in Intellectual Disability,,
,生物奖,金奖,"Evolution of Respiratory
Proteins in Hexapoda (Insecta)",,
,生物奖,银奖,"Seeking Neoantigen Candidates within Retained
Introns",,
,生物奖,铜奖,"Pteryxin suppresses hepatocellular carcinoma by
targeting HIF 1α and glucose metabolism",,
,生物奖,优胜奖,"A method to recognize
universal patterns in genome structure using Hi-C",,
,生物奖,金奖,"探究捕蝇草捕虫裂片的夹合机制/ Optimized methodologies
evoked new mechanism of the Venus Flytrap’s closure",,
,生物奖,银奖,"一种新模式生物的生物学研究_迷你网柄菌的分类、个体发育及分子系统学的研究/ Biological researches on a new species of model
organism — taxonomy, ontogeny and molecular phylogenetic studies of
Dictyostelium minimum",,
,生物奖,铜奖,"植物激素Jasmonates产生极性信号传递，调节茅膏菜捕虫运动过程/ PHYTOHORMONE JASMONATES TRIGGER POLAR SIGNAL
TRANSPORT AND REGULATE INSECT-TRAPPING MOVEMENT IN DROSERA",,
,生物奖,优胜奖,"病毒与肠道微生物的秘密—H9N2亚型禽流感病毒促进小鼠肠道菌群易位的机理研究/ The secret of virus and intestinal microflora—A
study on the mechanism of intestinal microflora translocation post H9N2
AIV-infection in mice",,
,生物奖,入围奖,"芦苇生物炭负载银的杀菌效果应用研究/ The bactericidal efficacy of
reed-derived biochar loaded with silver particles",,
,经济金融建模奖,金奖,An Agency-Based Theory,,
,经济金融建模奖,银奖,On Two-sided Matching in Infinite Markets,,
,经济金融建模奖,铜奖,On Optimal Favoritism in Asymmetric Competitions,,
,经济金融建模奖,铜奖,Do Girls Benefit More?,,
,经济金融建模奖,铜奖,Empirical Analysis from Dianping Data,,
,经济金融建模奖,铜奖,Pricing Analysis of Intelligent Express Cabinet Industry Based on Two-sided Market Theory,,
,经济金融建模奖,优胜奖,Research In Response To COVID-19 Outbreak In Wuhan Of Patients And Resources’ Optimal Allocation Scheme Based On Nonlinear Programming,,
,经济金融建模奖,优胜奖,An Empirical Study in the Chinese Stock Market,,
,经济金融建模奖,优胜奖,The Case of Brexit’s Influence on British Corporate Bond Performance,,
,经济金融建模奖,优胜奖,Evidence from a novel directed tree approach,,
,经济金融建模奖,优胜奖,Facile Fabrication of Silicon Carbide Spheres and Its Application in Polymer Composites with Enhanced Thermal Conductivity,,
,经济金融建模奖,银奖,"Does Import Competition From
China Impact Political Ideology in the U.S.? Evidence From China’s Accession to
the World Trade Organisation",,
,经济金融建模奖,铜奖,"All-Pay Auctions with
Different Forfeits",,
,经济金融建模奖,优胜奖,"Group
Theory and Megaminx",,
,经济金融建模奖,银奖,"Equichordal
Curves on Simply Connected Surfaces of Constant Curvature",,
,经济金融建模奖,铜奖,"On
maximum area of the polygons with given side lengths",,
,经济金融建模奖,优胜奖,"Directed
graph method for intelligent vehicle to orderly pass through unsignalized
intersection and its application",,
,经济金融建模奖,入围奖,"The
Multi-objective Optimization of Predicative Scheduling for High Profitable
Passengers Seeking Based onSpatial-temporal feature of Taxi GPS Big Data",,
,经济金融建模奖,金奖,"The
Study of Movement Models of Chinese Traditional Water Sleeves",,
,经济金融建模奖,银奖,"Experiment
study on motion mechanism of a straw placed in carbonated water",,
,经济金融建模奖,优胜奖,"The
rolling motion of constrained three-dimensional rigid bodies",,
